Provinsi,2020,2021,2022
Aceh,3191,3125,3458
Sumatera Utara,5953,5701,6443
Sumatera Barat,2409,2876,3224
Riau,1257,1344,1708
Jambi,983,1189,1476
Sumatera Selatan,1212,1533,1946
Bengkulu ,599,791,952
Lampung,1792,1727,1991
Kep. Bangka Belitung,292,297,360
Kepulauan Riau,718,719,1012
DKI Jakarta,7746,7922,8783
Jawa Barat ,6954,7237,9555
Jawa Tengah,21057,22508,30758
D.I.Yogyakarta,5006,5374,7875
Jawa Timur,20945,21233,29693
Banten ,1197,1318,1502
Bali,1772,1981,3706
Nusa Tenggara Barat,1233,1386,1790
Nusa Tenggara Timur,1131,1191,1330
Kalimantan Barat,834,928,1153
Kalimantan Tengah,712,730,936
Kalimantan Selatan,633,680,912
Kalimantan Timur,966,1163,1354
Kalimantan Utara,214,282,417
Sulawesi Utara,1540,2129,2241
Sulawesi Tengah,1040,978,1141
Sulawesi Selatan,4807,5849,7068
Sulawesi Tenggara,804,1004,1347
Gorontalo,374,390,501
Sulawesi Barat,525,629,854
Maluku,356,302,401
Maluku Utara,130,217,226
Papua Barat,312,390,696
Papua,1334,1049,2449
,100028,106172,139258
