Provinsi,Baik,Sedang,Rusak,Rusak Berat,Jumlah
Aceh,10228,3722,5705,3995,23650
Sumatera Utara,16355,8564,6029,9791,40739
Sumatera Barat,10600,4264,3580,4205,22649
Riau,7893,6621,5854,3925,24293
Jambi,5039,4053,2099,1950,13141
Sumatera Selatan,8161,6000,2933,1674,18768
Bengkulu ,3803,2113,2011,1264,9191
Lampung,6549,5944,5624,2642,20759
Kep. Bangka Belitung,4096,619,566,231,5512
Kepulauan Riau,2653,1276,1205,552,5686
DKI Jakarta,4540,1680,265,0,6485
Jawa Barat ,15647,7901,2274,2355,28177
Jawa Tengah,18176,7568,2682,2118,30544
D.I.Yogyakarta,2639,999,462,281,4381
Jawa Timur,26358,8644,4070,3380,42452
Banten ,3521,1337,463,498,5819
Bali,5340,1741,998,606,8685
Nusa Tenggara Barat,4653,1540,1115,1196,8504
Nusa Tenggara Timur,11615,2978,2080,6983,23656
Kalimantan Barat,4488,6136,3984,3707,18315
Kalimantan Tengah,5573,5488,2909,4840,18810
Kalimantan Selatan,5176,4047,2421,1796,13440
Kalimantan Timur,4473,4308,2627,2042,13450
Kalimantan Utara,1293,1779,1156,686,4914
Sulawesi Utara,5583,1908,1043,1557,10091
Sulawesi Tengah,4235,6281,2791,3601,16908
Sulawesi Selatan,12841,7365,6014,4329,30549
Sulawesi Tenggara,4001,4128,3169,1743,13041
Gorontalo,2384,1215,862,1052,5513
Sulawesi Barat,1675,1901,1383,922,5881
Maluku,3394,3227,1703,2352,10676
Maluku Utara,2814,1630,1049,1861,7354
Papua Barat,2473,4839,2321,3382,13015
Papua,4375,7358,4007,5328,21068
