Provinsi,Mobil,Bis,Truk,Sepeda Motor,Jumlah
Aceh,167905,1224,68112,2110903,2348144
Sumatera Utara,692360,5949,271836,6076058,7046203
Sumatera Barat,273421,4098,133447,2123997,2534963
Riau,355540,5189,201862,3431810,3994401
Jambi,171300,35004,134876,2097846,2439026
Sumatera Selatan,388271,6449,318752,3128167,3841639
Bengkulu ,106862,842,49279,922267,1079250
Lampung,285619,3014,177949,3310083,3776665
Kep. Bangka Belitung,81470,1175,44992,966960,1094597
Kepulauan Riau,148616,2150,27320,895179,1073265
DKI Jakarta,3558636,36426,714622,16643297,20952981
Jawa Barat ,3698521,21529,414995,12708100,16843145
Jawa Tengah,1403232,34116,587509,16815178,18840035
D.I.Yogyakarta,366830,3857,62286,2569756,3002729
Jawa Timur,1947088,35704,751210,19954337,22688339
Banten ,248998,3576,82833,2376215,2711622
Bali,465475,9392,154035,3835166,4464068
Nusa Tenggara Barat,99511,2624,74874,1745282,1922291
Nusa Tenggara Timur,60001,3682,50496,860207,974386
Kalimantan Barat,153342,1582,101497,2486508,2742929
Kalimantan Tengah,98536,1522,71075,1309655,1480788
Kalimantan Selatan,230910,3128,139967,2390349,2764354
Kalimantan Timur,282420,6277,191572,2718733,3199002
Kalimantan Utara,13929,129,8939,148939,171936
Sulawesi Utara,129644,1349,68514,805766,1005273
Sulawesi Tengah,89781,935,49956,1090120,1230792
Sulawesi Selatan,535133,3832,198236,3729687,4466888
Sulawesi Tenggara,188438,586,40514,788541,1018079
Gorontalo,36419,346,26777,401889,465431
Sulawesi Barat,21524,47,12986,335724,370281
Maluku,24864,484,13889,293590,332827
Maluku Utara,20211,147,12691,272874,305923
Papua Barat,35546,364,17544,307148,360602
Papua,32985,838,23919,391967,449709
